YEAR,MO,DY,ALLSKY_SFC_UVA
2020,1,1,11.09
2020,1,2,12.16
2020,1,3,9.23
2020,1,4,9.82
2020,1,5,8.47
2020,1,6,12.98
2020,1,7,11.99
2020,1,8,13.13
2020,1,9,11.92
2020,1,10,5
2020,1,11,9.2
2020,1,12,12.75
2020,1,13,13.39
2020,1,14,13.19
2020,1,15,13.51
2020,1,16,5.52
2020,1,17,13
2020,1,18,11.27
2020,1,19,8.93
2020,1,20,6.55
2020,1,21,15.09
2020,1,22,13.86
2020,1,23,12.46
2020,1,24,8.88
2020,1,25,14.37
2020,1,26,9.15
2020,1,27,13.38
2020,1,28,13.33
2020,1,29,10.43
2020,1,30,5.16
2020,1,31,14.36
2020,2,1,14.68
2020,2,2,13.6
2020,2,3,12.9
2020,2,4,9.66
2020,2,5,7.3
2020,2,6,12.12
2020,2,7,13.91
2020,2,8,13.31
2020,2,9,14
2020,2,10,14.58
2020,2,11,12.77
2020,2,12,12.34
2020,2,13,12.27
2020,2,14,14.64
2020,2,15,12.07
2020,2,16,16.04
2020,2,17,7.2
2020,2,18,14.71
2020,2,19,12.54
2020,2,20,15.05
2020,2,21,12.66
2020,2,22,10.05
2020,2,23,9.35
2020,2,24,10.06
2020,2,25,12.73
2020,2,26,5.06
2020,2,27,12.01
2020,2,28,10.34
2020,2,29,13.83
2020,3,1,12.82
2020,3,2,14.77
2020,3,3,4.16
2020,3,4,15.48
2020,3,5,11.91
2020,3,6,12.98
2020,3,7,14.22
2020,3,8,15.39
2020,3,9,13.65
2020,3,10,15.17
2020,3,11,16.7
2020,3,12,14.44
2020,3,13,14.13
2020,3,14,15.48
2020,3,15,14.72
2020,3,16,13.56
2020,3,17,12.95
2020,3,18,12.81
2020,3,19,11.69
2020,3,20,6.83
2020,3,21,14.04
2020,3,22,15.1
2020,3,23,13.78
2020,3,24,13
2020,3,25,16.43
2020,3,26,4.4
2020,3,27,18.06
2020,3,28,12.61
2020,3,29,13.53
2020,3,30,12.45
2020,3,31,16.48
2020,4,1,14.66
2020,4,2,13.15
2020,4,3,15.23
2020,4,4,15.3
2020,4,5,11.71
2020,4,6,12.63
2020,4,7,14.08
2020,4,8,15.84
2020,4,9,14.2
2020,4,10,11.93
2020,4,11,7.8
2020,4,12,16.24
2020,4,13,15.21
2020,4,14,16.8
2020,4,15,15.52
2020,4,16,11.7
2020,4,17,15.04
2020,4,18,9.75
2020,4,19,14.89
2020,4,20,14.62
2020,4,21,9.96
2020,4,22,16.88
2020,4,23,8.7
2020,4,24,13.09
2020,4,25,13.94
2020,4,26,15.31
2020,4,27,16.24
2020,4,28,12.02
2020,4,29,15.8
2020,4,30,14.79
2020,5,1,14.67
2020,5,2,11.38
2020,5,3,13.95
2020,5,4,15.26
2020,5,5,15.09
2020,5,6,15.87
2020,5,7,16.38
2020,5,8,12.4
2020,5,9,11.58
2020,5,10,15.68
2020,5,11,14.38
2020,5,12,11.11
2020,5,13,15.44
2020,5,14,11.8
2020,5,15,14.32
2020,5,16,11.36
2020,5,17,10.59
2020,5,18,10.73
2020,5,19,13.98
2020,5,20,13.98
2020,5,21,12.49
2020,5,22,9.67
2020,5,23,14.65
2020,5,24,13.62
2020,5,25,13.53
2020,5,26,14.47
2020,5,27,13.8
2020,5,28,13.38
2020,5,29,14.69
2020,5,30,12.73
2020,5,31,11.73
2020,6,1,6.03
2020,6,2,14.82
2020,6,3,14.71
2020,6,4,11.24
2020,6,5,4.71
2020,6,6,14.04
2020,6,7,15.3
2020,6,8,15.02
2020,6,9,15.91
2020,6,10,15.7
2020,6,11,13.91
2020,6,12,15.45
2020,6,13,13.4
2020,6,14,13.37
2020,6,15,14.3
2020,6,16,10.75
2020,6,17,15.01
2020,6,18,9.73
2020,6,19,12.26
2020,6,20,13.39
2020,6,21,13.17
2020,6,22,12.05
2020,6,23,12.05
2020,6,24,11.09
2020,6,25,9.51
2020,6,26,7.29
2020,6,27,8.34
2020,6,28,13.38
2020,6,29,15.07
2020,6,30,7.38
2020,7,1,13.82
2020,7,2,12.46
2020,7,3,16.45
2020,7,4,14.14
2020,7,5,11.91
2020,7,6,16.01
2020,7,7,6.97
2020,7,8,13.21
2020,7,9,8.94
2020,7,10,10.15
2020,7,11,12.51
2020,7,12,15.07
2020,7,13,14.08
2020,7,14,8.58
2020,7,15,13.75
2020,7,16,12.56
2020,7,17,14.85
2020,7,18,10.3
2020,7,19,14.05
2020,7,20,12.32
2020,7,21,15.17
2020,7,22,8.7
2020,7,23,8.83
2020,7,24,13.62
2020,7,25,13.77
2020,7,26,11.66
2020,7,27,11.88
2020,7,28,11.94
2020,7,29,12.32
2020,7,30,10.41
2020,7,31,14.1
2020,8,1,15.03
2020,8,2,11.55
2020,8,3,13.93
2020,8,4,11.88
2020,8,5,5.9
2020,8,6,11.88
2020,8,7,15.88
2020,8,8,15.55
2020,8,9,14.05
2020,8,10,15.34
2020,8,11,15.6
2020,8,12,12.23
2020,8,13,13.28
2020,8,14,15.09
2020,8,15,11.73
2020,8,16,12.44
2020,8,17,16.69
2020,8,18,13.05
2020,8,19,11.41
2020,8,20,12.34
2020,8,21,14.62
2020,8,22,14.7
2020,8,23,13.45
2020,8,24,13.85
2020,8,25,14.2
2020,8,26,9.71
2020,8,27,13.1
2020,8,28,14.02
2020,8,29,12.49
2020,8,30,14.91
2020,8,31,5.87
2020,9,1,13.2
2020,9,2,8.38
2020,9,3,14.49
2020,9,4,13.75
2020,9,5,8.69
2020,9,6,13.04
2020,9,7,12.25
2020,9,8,13.92
2020,9,9,14.8
2020,9,10,9.78
2020,9,11,8.2
2020,9,12,10.57
2020,9,13,11.2
2020,9,14,7.73
2020,9,15,12.59
2020,9,16,13.27
2020,9,17,15.45
2020,9,18,16.35
2020,9,19,4.21
2020,9,20,16.97
2020,9,21,13.48
2020,9,22,12.91
2020,9,23,14.59
2020,9,24,14.32
2020,9,25,8.38
2020,9,26,12.55
2020,9,27,11.62
2020,9,28,12.18
2020,9,29,12.88
2020,9,30,16.52
2020,10,1,15.29
2020,10,2,14.6
2020,10,3,14.56
2020,10,4,5.59
2020,10,5,12.74
2020,10,6,15.03
2020,10,7,13.04
2020,10,8,11.56
2020,10,9,11.46
2020,10,10,14.5
2020,10,11,15.84
2020,10,12,11.19
2020,10,13,16.16
2020,10,14,12.63
2020,10,15,15.13
2020,10,16,13.48
2020,10,17,15.39
2020,10,18,14.27
2020,10,19,13.99
2020,10,20,15.84
2020,10,21,14.38
2020,10,22,15.52
2020,10,23,11.74
2020,10,24,13.46
2020,10,25,15.41
2020,10,26,12.17
2020,10,27,14.05
2020,10,28,16.41
2020,10,29,10.91
2020,10,30,14.38
2020,10,31,14.91
2020,11,1,12.93
2020,11,2,11.84
2020,11,3,13.41
2020,11,4,13.09
2020,11,5,10.99
2020,11,6,15.45
2020,11,7,7.71
2020,11,8,14.52
2020,11,9,12.5
2020,11,10,14.88
2020,11,11,13.73
2020,11,12,14.09
2020,11,13,14.52
2020,11,14,9.55
2020,11,15,14.31
2020,11,16,14.13
2020,11,17,8.65
2020,11,18,9.29
2020,11,19,7.01
2020,11,20,12.93
2020,11,21,6.14
2020,11,22,13.93
2020,11,23,11.91
2020,11,24,12.8
2020,11,25,13.45
2020,11,26,8.84
2020,11,27,7.46
2020,11,28,14.8
2020,11,29,9.68
2020,11,30,12.63
2020,12,1,14.83
2020,12,2,13.47
2020,12,3,12.57
2020,12,4,11.35
2020,12,5,10.98
2020,12,6,8.66
2020,12,7,12.97
2020,12,8,13.99
2020,12,9,10.14
2020,12,10,13.77
2020,12,11,10.51
2020,12,12,11.8
2020,12,13,13.11
2020,12,14,11.85
2020,12,15,10.34
2020,12,16,12.76
2020,12,17,14.49
2020,12,18,10.73
2020,12,19,10.77
2020,12,20,11.53
2020,12,21,6.16
2020,12,22,7.84
2020,12,23,14.17
2020,12,24,13.61
2020,12,25,12.53
2020,12,26,14.48
2020,12,27,12.27
2020,12,28,14.38
2020,12,29,11.33
2020,12,30,10.37
2020,12,31,11.72
