YEAR,MO,DY,CLRSKY_SFC_SW_DWN
2020,1,1,6.45
2020,1,2,6.34
2020,1,3,6.47
2020,1,4,6.61
2020,1,5,6.53
2020,1,6,6.53
2020,1,7,6.54
2020,1,8,6.58
2020,1,9,6.45
2020,1,10,6.35
2020,1,11,6.52
2020,1,12,6.76
2020,1,13,6.64
2020,1,14,6.54
2020,1,15,6.54
2020,1,16,6.5
2020,1,17,6.57
2020,1,18,6.42
2020,1,19,6.47
2020,1,20,6.56
2020,1,21,6.6
2020,1,22,6.64
2020,1,23,6.57
2020,1,24,6.59
2020,1,25,6.6
2020,1,26,6.65
2020,1,27,6.66
2020,1,28,6.64
2020,1,29,6.6
2020,1,30,6.76
2020,1,31,6.73
2020,2,1,6.74
2020,2,2,6.63
2020,2,3,6.57
2020,2,4,6.41
2020,2,5,6.46
2020,2,6,6.6
2020,2,7,6.57
2020,2,8,6.72
2020,2,9,6.84
2020,2,10,6.82
2020,2,11,6.46
2020,2,12,6.73
2020,2,13,6.77
2020,2,14,6.82
2020,2,15,6.77
2020,2,16,6.98
2020,2,17,6.96
2020,2,18,6.75
2020,2,19,6.77
2020,2,20,6.95
2020,2,21,7.03
2020,2,22,7.1
2020,2,23,6.77
2020,2,24,6.9
2020,2,25,6.82
2020,2,26,7.05
2020,2,27,6.5
2020,2,28,6.72
2020,2,29,6.91
2020,3,1,6.85
2020,3,2,6.82
2020,3,3,6.79
2020,3,4,7.06
2020,3,5,6.99
2020,3,6,6.6
2020,3,7,6.95
2020,3,8,6.95
2020,3,9,6.9
2020,3,10,7.02
2020,3,11,7.17
2020,3,12,7.1
2020,3,13,7.18
2020,3,14,6.89
2020,3,15,7.02
2020,3,16,7.15
2020,3,17,7.09
2020,3,18,7
2020,3,19,6.48
2020,3,20,5.97
2020,3,21,6.84
2020,3,22,7.1
2020,3,23,7
2020,3,24,6.84
2020,3,25,7.05
2020,3,26,7.08
2020,3,27,7.2
2020,3,28,6.81
2020,3,29,7.07
2020,3,30,7.1
2020,3,31,7.05
2020,4,1,6.77
2020,4,2,6.84
2020,4,3,7.06
2020,4,4,6.95
2020,4,5,6.94
2020,4,6,6.89
2020,4,7,6.82
2020,4,8,6.74
2020,4,9,6.75
2020,4,10,6.95
2020,4,11,6.39
2020,4,12,6.92
2020,4,13,6.81
2020,4,14,7.11
2020,4,15,6.78
2020,4,16,6.61
2020,4,17,6.82
2020,4,18,6.85
2020,4,19,7.11
2020,4,20,6.91
2020,4,21,6.87
2020,4,22,6.96
2020,4,23,6.77
2020,4,24,6.71
2020,4,25,6.56
2020,4,26,6.76
2020,4,27,6.83
2020,4,28,6.65
2020,4,29,6.6
2020,4,30,6.52
2020,5,1,6.47
2020,5,2,6.54
2020,5,3,6.48
2020,5,4,6.71
2020,5,5,6.72
2020,5,6,6.73
2020,5,7,6.7
2020,5,8,6.56
2020,5,9,6.39
2020,5,10,6.53
2020,5,11,6.53
2020,5,12,6.28
2020,5,13,6.49
2020,5,14,6.52
2020,5,15,6.37
2020,5,16,6.42
2020,5,17,6.31
2020,5,18,6.4
2020,5,19,6.42
2020,5,20,6.36
2020,5,21,6.31
2020,5,22,6.38
2020,5,23,6.44
2020,5,24,6.41
2020,5,25,6.31
2020,5,26,6.43
2020,5,27,6.37
2020,5,28,6.38
2020,5,29,6.43
2020,5,30,6.41
2020,5,31,6.36
2020,6,1,6.25
2020,6,2,6.43
2020,6,3,6.46
2020,6,4,6.39
2020,6,5,6.22
2020,6,6,6.21
2020,6,7,6.36
2020,6,8,6.48
2020,6,9,6.52
2020,6,10,6.49
2020,6,11,6.29
2020,6,12,6.44
2020,6,13,6.3
2020,6,14,6.31
2020,6,15,6.32
2020,6,16,6.16
2020,6,17,6.34
2020,6,18,6.17
2020,6,19,6.14
2020,6,20,6.13
2020,6,21,6.06
2020,6,22,6.14
2020,6,23,5.79
2020,6,24,5.99
2020,6,25,5.62
2020,6,26,5.47
2020,6,27,5.73
2020,6,28,6.22
2020,6,29,6.47
2020,6,30,6.28
2020,7,1,6.42
2020,7,2,6.26
2020,7,3,6.52
2020,7,4,6.27
2020,7,5,6.38
2020,7,6,6.45
2020,7,7,6.17
2020,7,8,6.25
2020,7,9,6.22
2020,7,10,6.34
2020,7,11,6.45
2020,7,12,6.41
2020,7,13,6.27
2020,7,14,6.22
2020,7,15,6.47
2020,7,16,6.33
2020,7,17,6.42
2020,7,18,6.38
2020,7,19,6.4
2020,7,20,6.36
2020,7,21,6.48
2020,7,22,6.26
2020,7,23,6.38
2020,7,24,6.24
2020,7,25,6.4
2020,7,26,6.42
2020,7,27,6.31
2020,7,28,6.32
2020,7,29,6.4
2020,7,30,6.29
2020,7,31,6.62
2020,8,1,6.58
2020,8,2,5.8
2020,8,3,6.35
2020,8,4,6.03
2020,8,5,6.28
2020,8,6,6.48
2020,8,7,6.65
2020,8,8,6.62
2020,8,9,6.5
2020,8,10,6.68
2020,8,11,6.58
2020,8,12,6.48
2020,8,13,6.44
2020,8,14,6.7
2020,8,15,6.79
2020,8,16,6.69
2020,8,17,6.81
2020,8,18,6.67
2020,8,19,6.38
2020,8,20,6.7
2020,8,21,6.83
2020,8,22,6.79
2020,8,23,6.68
2020,8,24,6.74
2020,8,25,6.82
2020,8,26,6.81
2020,8,27,6.84
2020,8,28,6.56
2020,8,29,6.89
2020,8,30,6.9
2020,8,31,6.6
2020,9,1,6.74
2020,9,2,6.78
2020,9,3,6.81
2020,9,4,6.78
2020,9,5,6.74
2020,9,6,6.84
2020,9,7,6.63
