date,Clear_Sky_Surface_Shortwave_Downward_Irradiance,Sky_Surface_UV_Index,Sky_Surface_UVA_Irradiance,All_Sky_Insolation_Clearness_Index ,Sky_Surface_UVB_Irradiance
01/01/2020,6.45,1.85,11.09,0.4,0.36
02/01/2020,6.34,1.98,12.16,0.46,0.38
03/01/2020,6.47,1.46,9.23,0.31,0.29
04/01/2020,6.61,1.55,9.82,0.34,0.3
05/01/2020,6.53,1.4,8.47,0.29,0.27
06/01/2020,6.53,2.05,12.98,0.49,0.4
07/01/2020,6.54,1.87,11.99,0.45,0.36
08/01/2020,6.58,2.02,13.13,0.5,0.39
09/01/2020,6.45,1.83,11.92,0.45,0.36
10/01/2020,6.35,0.77,5,0.16,0.15
11/01/2020,6.52,1.48,9.2,0.32,0.29
12/01/2020,6.76,2.05,12.75,0.46,0.4
13/01/2020,6.64,2.08,13.39,0.51,0.41
14/01/2020,6.54,1.98,13.19,0.5,0.39
15/01/2020,6.54,2.09,13.51,0.52,0.41
16/01/2020,6.5,0.77,5.52,0.18,0.15
17/01/2020,6.57,2.06,13,0.48,0.4
18/01/2020,6.42,1.79,11.27,0.41,0.34
19/01/2020,6.47,1.41,8.93,0.3,0.27
20/01/2020,6.56,1.1,6.55,0.2,0.22
21/01/2020,6.6,2.42,15.09,0.59,0.46
22/01/2020,6.64,2.2,13.86,0.54,0.42
23/01/2020,6.57,1.98,12.46,0.47,0.38
24/01/2020,6.59,1.43,8.88,0.3,0.28
25/01/2020,6.6,2.34,14.37,0.54,0.45
26/01/2020,6.65,1.45,9.15,0.3,0.28
27/01/2020,6.66,2.13,13.38,0.49,0.41
28/01/2020,6.64,2.12,13.33,0.5,0.41
29/01/2020,6.6,1.63,10.43,0.36,0.32
30/01/2020,6.76,0.77,5.16,0.16,0.15
31/01/2020,6.73,2.16,14.36,0.55,0.42
01/02/2020,6.74,2.25,14.68,0.56,0.43
02/02/2020,6.63,2.19,13.6,0.5,0.42
03/02/2020,6.57,2.08,12.9,0.48,0.4
04/02/2020,6.41,1.54,9.66,0.34,0.3
05/02/2020,6.46,1.12,7.3,0.23,0.22
06/02/2020,6.6,1.91,12.12,0.43,0.37
07/02/2020,6.57,2.11,13.91,0.54,0.41
08/02/2020,6.72,2.12,13.31,0.5,0.41
09/02/2020,6.84,2.23,14,0.52,0.43
10/02/2020,6.82,2.39,14.58,0.53,0.46
11/02/2020,6.46,2,12.77,0.49,0.38
12/02/2020,6.73,1.97,12.34,0.45,0.38
13/02/2020,6.77,1.98,12.27,0.44,0.38
14/02/2020,6.82,2.35,14.64,0.54,0.45
15/02/2020,6.77,1.98,12.07,0.41,0.38
16/02/2020,6.98,2.66,16.04,0.59,0.5
17/02/2020,6.96,1.17,7.2,0.23,0.23
18/02/2020,6.75,2.35,14.71,0.56,0.45
19/02/2020,6.77,2.04,12.54,0.45,0.39
20/02/2020,6.95,2.48,15.05,0.55,0.47
21/02/2020,7.03,2.09,12.66,0.44,0.4
22/02/2020,7.1,1.7,10.05,0.31,0.33
23/02/2020,6.77,1.52,9.35,0.3,0.3
24/02/2020,6.9,1.71,10.06,0.33,0.33
25/02/2020,6.82,2.05,12.73,0.45,0.39
26/02/2020,7.05,0.81,5.06,0.15,0.16
27/02/2020,6.5,1.91,12.01,0.45,0.37
28/02/2020,6.72,1.7,10.34,0.34,0.33
29/02/2020,6.91,2.3,13.83,0.48,0.45
01/03/2020,6.85,2.08,12.82,0.45,0.4
02/03/2020,6.82,2.3,14.77,0.54,0.45
03/03/2020,6.79,0.63,4.16,0.12,0.12
04/03/2020,7.06,2.46,15.48,0.55,0.47
05/03/2020,6.99,1.83,11.91,0.41,0.36
06/03/2020,6.6,1.98,12.98,0.48,0.38
07/03/2020,6.95,2.22,14.22,0.51,0.43
08/03/2020,6.95,2.51,15.39,0.57,0.48
09/03/2020,6.9,2.37,13.65,0.49,0.45
10/03/2020,7.02,2.59,15.17,0.57,0.48
11/03/2020,7.17,2.73,16.7,0.62,0.52
12/03/2020,7.1,2.38,14.44,0.51,0.45
13/03/2020,7.18,2.41,14.13,0.49,0.45
14/03/2020,6.89,2.62,15.48,0.58,0.49
15/03/2020,7.02,2.48,14.72,0.53,0.47
16/03/2020,7.15,2.3,13.56,0.47,0.44
17/03/2020,7.09,2.21,12.95,0.44,0.42
18/03/2020,7,2.15,12.81,0.44,0.41
19/03/2020,6.48,1.87,11.69,0.43,0.36
20/03/2020,5.97,1.11,6.83,0.24,0.21
21/03/2020,6.84,2.35,14.04,0.51,0.45
22/03/2020,7.1,2.54,15.1,0.54,0.48
23/03/2020,7,2.23,13.78,0.48,0.43
24/03/2020,6.84,2.06,13,0.47,0.4
25/03/2020,7.05,2.67,16.43,0.61,0.5
26/03/2020,7.08,0.7,4.4,0.12,0.14
27/03/2020,7.2,2.97,18.06,0.66,0.55
28/03/2020,6.81,2.06,12.61,0.45,0.4
29/03/2020,7.07,2.27,13.53,0.47,0.43
30/03/2020,7.1,2.06,12.45,0.42,0.4
31/03/2020,7.05,2.77,16.48,0.62,0.52
01/04/2020,6.77,2.5,14.66,0.55,0.47
02/04/2020,6.84,2.22,13.15,0.46,0.42
03/04/2020,7.06,2.48,15.23,0.54,0.47
04/04/2020,6.95,2.54,15.3,0.55,0.48
05/04/2020,6.94,2.03,11.71,0.38,0.39
06/04/2020,6.89,2.04,12.63,0.44,0.39
07/04/2020,6.82,2.27,14.08,0.51,0.44
08/04/2020,6.74,2.57,15.84,0.62,0.48
09/04/2020,6.75,2.41,14.2,0.52,0.45
10/04/2020,6.95,2.11,11.93,0.4,0.4
11/04/2020,6.39,1.24,7.8,0.27,0.24
12/04/2020,6.92,2.64,16.24,0.61,0.5
13/04/2020,6.81,2.45,15.21,0.6,0.46
14/04/2020,7.11,2.82,16.8,0.65,0.52
15/04/2020,6.78,2.53,15.52,0.6,0.48
16/04/2020,6.61,1.87,11.7,0.43,0.36
17/04/2020,6.82,2.46,15.04,0.55,0.47
18/04/2020,6.85,1.68,9.75,0.34,0.33
19/04/2020,7.11,2.56,14.89,0.53,0.49
20/04/2020,6.91,2.52,14.62,0.53,0.48
21/04/2020,6.87,1.68,9.96,0.34,0.32
22/04/2020,6.96,2.8,16.88,0.63,0.52
23/04/2020,6.77,1.41,8.7,0.29,0.27
24/04/2020,6.71,2.21,13.09,0.47,0.42
25/04/2020,6.56,2.32,13.94,0.52,0.45
26/04/2020,6.76,2.52,15.31,0.57,0.48
27/04/2020,6.83,2.64,16.24,0.61,0.5
28/04/2020,6.65,1.99,12.02,0.43,0.38
29/04/2020,6.6,2.62,15.8,0.62,0.48
30/04/2020,6.52,2.3,14.79,0.58,0.45
01/05/2020,6.47,2.34,14.67,0.57,0.45
02/05/2020,6.54,1.87,11.38,0.4,0.37
03/05/2020,6.48,2.21,13.95,0.54,0.43
04/05/2020,6.71,2.41,15.26,0.59,0.46
05/05/2020,6.72,2.42,15.09,0.57,0.46
06/05/2020,6.73,2.48,15.87,0.61,0.48
07/05/2020,6.7,2.63,16.38,0.64,0.49
08/05/2020,6.56,2.03,12.4,0.45,0.39
09/05/2020,6.39,1.8,11.58,0.43,0.35
10/05/2020,6.53,2.47,15.68,0.62,0.47
11/05/2020,6.53,2.23,14.38,0.55,0.43
12/05/2020,6.28,1.76,11.11,0.41,0.34
13/05/2020,6.49,2.44,15.44,0.61,0.46
14/05/2020,6.52,1.84,11.8,0.42,0.36
15/05/2020,6.37,2.18,14.32,0.57,0.42
16/05/2020,6.42,1.72,11.36,0.41,0.34
17/05/2020,6.31,1.74,10.59,0.39,0.34
18/05/2020,6.4,1.66,10.73,0.39,0.33
19/05/2020,6.42,2.18,13.98,0.55,0.42
20/05/2020,6.36,2.06,13.98,0.55,0.4
21/05/2020,6.31,1.91,12.49,0.48,0.38
22/05/2020,6.38,1.44,9.67,0.35,0.29
23/05/2020,6.44,2.24,14.65,0.59,0.44
24/05/2020,6.41,2.03,13.62,0.54,0.4
25/05/2020,6.31,2.07,13.53,0.54,0.4
26/05/2020,6.43,2.2,14.47,0.58,0.42
27/05/2020,6.37,2.09,13.8,0.55,0.41
28/05/2020,6.38,2.11,13.38,0.52,0.41
29/05/2020,6.43,2.17,14.69,0.59,0.42
30/05/2020,6.41,1.96,12.73,0.49,0.38
31/05/2020,6.36,1.87,11.73,0.45,0.36
01/06/2020,6.25,0.88,6.03,0.2,0.17
02/06/2020,6.43,2.22,14.82,0.6,0.43
03/06/2020,6.46,2.37,14.71,0.59,0.45
04/06/2020,6.39,1.81,11.24,0.41,0.35
05/06/2020,6.22,0.73,4.71,0.16,0.14
06/06/2020,6.21,2.08,14.04,0.59,0.41
07/06/2020,6.36,2.33,15.3,0.64,0.45
08/06/2020,6.48,2.36,15.02,0.61,0.45
09/06/2020,6.52,2.51,15.91,0.66,0.48
10/06/2020,6.49,2.41,15.7,0.64,0.46
11/06/2020,6.29,2.18,13.91,0.57,0.41
12/06/2020,6.44,2.38,15.45,0.64,0.45
13/06/2020,6.3,2.1,13.4,0.54,0.41
14/06/2020,6.31,2.06,13.37,0.54,0.4
15/06/2020,6.32,2.2,14.3,0.59,0.42
16/06/2020,6.16,1.66,10.75,0.41,0.33
17/06/2020,6.34,2.18,15.01,0.62,0.42
18/06/2020,6.17,1.44,9.73,0.37,0.28
19/06/2020,6.14,1.79,12.26,0.48,0.35
20/06/2020,6.13,1.95,13.39,0.55,0.38
21/06/2020,6.06,1.96,13.17,0.55,0.38
22/06/2020,6.14,1.77,12.05,0.48,0.35
23/06/2020,5.79,1.74,12.05,0.52,0.34
24/06/2020,5.99,1.7,11.09,0.44,0.33
25/06/2020,5.62,1.33,9.51,0.4,0.27
26/06/2020,5.47,1.05,7.29,0.3,0.2
27/06/2020,5.73,1.18,8.34,0.33,0.23
28/06/2020,6.22,1.93,13.38,0.55,0.38
29/06/2020,6.47,2.25,15.07,0.61,0.43
30/06/2020,6.28,1.03,7.38,0.27,0.2
01/07/2020,6.42,2.05,13.82,0.55,0.4
02/07/2020,6.26,1.77,12.46,0.49,0.35
03/07/2020,6.52,2.34,16.45,0.69,0.45
04/07/2020,6.27,2.05,14.14,0.58,0.4
05/07/2020,6.38,1.79,11.91,0.46,0.35
06/07/2020,6.45,2.38,16.01,0.66,0.45
07/07/2020,6.17,1.01,6.97,0.26,0.2
08/07/2020,6.25,1.96,13.21,0.53,0.38
09/07/2020,6.22,1.39,8.94,0.32,0.27
10/07/2020,6.34,1.52,10.15,0.38,0.3
11/07/2020,6.45,1.84,12.51,0.48,0.36
12/07/2020,6.41,2.24,15.07,0.61,0.44
13/07/2020,6.27,2.09,14.08,0.58,0.41
14/07/2020,6.22,1.3,8.58,0.3,0.26
15/07/2020,6.47,2.08,13.75,0.54,0.41
16/07/2020,6.33,1.93,12.56,0.49,0.38
17/07/2020,6.42,2.16,14.85,0.6,0.41
18/07/2020,6.38,1.52,10.3,0.39,0.3
19/07/2020,6.4,1.99,14.05,0.57,0.39
20/07/2020,6.36,1.84,12.32,0.47,0.36
21/07/2020,6.48,2.21,15.17,0.62,0.43
22/07/2020,6.26,1.23,8.7,0.31,0.24
23/07/2020,6.38,1.25,8.83,0.31,0.25
24/07/2020,6.24,2.07,13.62,0.55,0.4
25/07/2020,6.4,2.21,13.77,0.54,0.42
26/07/2020,6.42,1.86,11.66,0.43,0.36
27/07/2020,6.31,1.85,11.88,0.45,0.36
28/07/2020,6.32,1.88,11.94,0.45,0.37
29/07/2020,6.4,1.95,12.32,0.47,0.38
30/07/2020,6.29,1.6,10.41,0.38,0.31
31/07/2020,6.62,2.2,14.1,0.57,0.43
01/08/2020,6.58,2.43,15.03,0.62,0.46
02/08/2020,5.8,1.65,11.55,0.51,0.32
03/08/2020,6.35,2.05,13.93,0.56,0.4
04/08/2020,6.03,1.77,11.88,0.49,0.34
05/08/2020,6.28,0.91,5.9,0.2,0.18
06/08/2020,6.48,1.87,11.88,0.45,0.37
07/08/2020,6.65,2.42,15.88,0.64,0.46
08/08/2020,6.62,2.26,15.55,0.62,0.44
09/08/2020,6.5,2.16,14.05,0.55,0.42
10/08/2020,6.68,2.48,15.34,0.6,0.47
11/08/2020,6.58,2.46,15.6,0.63,0.46
12/08/2020,6.48,1.81,12.23,0.47,0.36
13/08/2020,6.44,2.18,13.28,0.51,0.41
14/08/2020,6.7,2.42,15.09,0.59,0.46
15/08/2020,6.79,2.01,11.73,0.42,0.38
16/08/2020,6.69,2.08,12.44,0.45,0.4
17/08/2020,6.81,2.77,16.69,0.65,0.52
18/08/2020,6.67,2.18,13.05,0.48,0.42
19/08/2020,6.38,1.79,11.41,0.44,0.34
20/08/2020,6.7,1.95,12.34,0.45,0.38
21/08/2020,6.83,2.31,14.62,0.55,0.45
22/08/2020,6.79,2.34,14.7,0.55,0.45
23/08/2020,6.68,2.16,13.45,0.51,0.41
24/08/2020,6.74,2.23,13.85,0.52,0.43
25/08/2020,6.82,2.42,14.2,0.52,0.45
26/08/2020,6.81,1.57,9.71,0.34,0.3
27/08/2020,6.84,2.3,13.1,0.47,0.44
28/08/2020,6.56,2.18,14.02,0.54,0.42
29/08/2020,6.89,2.13,12.49,0.44,0.41
30/08/2020,6.9,2.48,14.91,0.55,0.47
